[2022-08-24 16:13:43] Node GetValue(9): 1
[2022-08-24 16:13:43] Node GetValue(2): TRUE
[2022-08-24 16:13:44] Node GetValue(9): 1
[2022-08-24 16:13:44] Node GetValue(2): TRUE
[2022-08-24 16:17:35] Node GetValue(9): 1
[2022-08-24 16:17:35] Node GetValue(2): TRUE
[2022-08-24 16:17:36] Node GetValue(9): 1
[2022-08-24 16:17:36] Node GetValue(2): TRUE
[2022-08-24 16:17:38] Node GetValue(9): 1
[2022-08-24 16:17:38] Node GetValue(2): TRUE
[2022-08-24 16:17:39] Node GetValue(9): 1
[2022-08-24 16:17:39] Node GetValue(2): TRUE
[2022-08-24 21:36:04] Node GetValue(9): 1
[2022-08-24 21:36:04] Node GetValue(2): TRUE
[2022-08-24 21:36:05] Node GetValue(9): 1
[2022-08-24 21:36:05] Node GetValue(2): TRUE
[2022-08-24 21:36:08] Node GetValue(9): 1
[2022-08-24 21:36:08] Node GetValue(2): TRUE
[2022-08-24 21:36:09] Node GetValue(9): 1
[2022-08-24 21:36:09] Node GetValue(2): TRUE
[2022-08-25 05:36:05] Node GetValue(9): 1
[2022-08-25 05:36:05] Node GetValue(2): TRUE
[2022-08-25 05:36:06] Node GetValue(9): 1
[2022-08-25 05:36:06] Node GetValue(2): TRUE
[2022-08-25 05:36:09] Node GetValue(9): 1
[2022-08-25 05:36:09] Node GetValue(2): TRUE
[2022-08-25 05:36:09] Node GetValue(9): 1
[2022-08-25 05:36:09] Node GetValue(2): TRUE
[2022-08-25 19:43:53] Node GetValue(9): 1
[2022-08-25 19:43:53] Node GetValue(2): TRUE
[2022-08-25 19:43:56] Node GetValue(9): 1
[2022-08-25 19:43:56] Node GetValue(2): TRUE
[2022-08-25 19:44:03] Node GetValue(9): 1
[2022-08-25 19:44:03] Node GetValue(2): TRUE
[2022-08-25 19:44:04] Node GetValue(9): 1
[2022-08-25 19:44:04] Node GetValue(2): TRUE
[2022-08-26 00:07:06] Node GetValue(9): 1
[2022-08-26 00:07:06] Node GetValue(2): TRUE
[2022-08-26 00:07:07] Node GetValue(9): 1
[2022-08-26 00:07:07] Node GetValue(2): TRUE
[2022-08-26 00:07:09] Node GetValue(9): 1
[2022-08-26 00:07:09] Node GetValue(2): TRUE
[2022-08-26 00:07:10] Node GetValue(9): 1
[2022-08-26 00:07:10] Node GetValue(2): TRUE
[2022-08-26 05:36:05] Node GetValue(9): 1
[2022-08-26 05:36:05] Node GetValue(2): TRUE
[2022-08-26 05:36:06] Node GetValue(9): 1
[2022-08-26 05:36:06] Node GetValue(2): TRUE
[2022-08-26 05:36:08] Node GetValue(9): 1
[2022-08-26 05:36:08] Node GetValue(2): TRUE
[2022-08-26 05:36:09] Node GetValue(9): 1
[2022-08-26 05:36:09] Node GetValue(2): TRUE
[2022-08-27 00:36:02] Node GetValue(9): 1
[2022-08-27 00:36:02] Node GetValue(2): TRUE
[2022-08-27 00:36:03] Node GetValue(9): 1
[2022-08-27 00:36:03] Node GetValue(2): TRUE
